,Name,Rating,Reviews,Salaries,Interviews,Jobs,Benefits
1841,Consulting Engineers Group,4.1,569,1.6k,45,7,37
1842,Amway India Enterprises,4.0,568,2.1k,16,4,84
1843,PTC,4.2,568,3.9k,68,93,56
1844,TSYS|Total System Services,4.1,567,4.1k,65,,10
1845,Crystal Crop Protection,3.8,566,1.8k,24,,43
1846,Maharashtra State Electricity Distribution Company,4.2,566,1.1k,23,,42
1847,Axiscades,3.0,566,3.7k,60,1,31
1848,Cvent,3.2,566,4.4k,100,182,55
1849,NLC India Limited,4.4,569,1.1k,28,,23
1850,Toothsi,2.7,565,2.2k,64,1,21
1851,Anmol Industries,3.9,566,1.7k,61,,48
1852,Wood Group,3.7,566,2.6k,64,3,25
1853,Blackrock,3.6,564,6.3k,118,,62
1854,ABIS Exports,3.8,564,1.8k,44,,20
1855,Perficient,3.7,563,4.2k,44,9,31
1856,Army Public School,4.0,563,1.1k,41,,54
1857,Pamac Finserve,3.2,563,1.6k,28,1,25
1858,Sapiens,3.2,565,5.1k,65,8,64
1859,AVIOM,4.0,563,1.2k,31,1,14
1860,Rane (Madras) Limited - Engine Components Division,3.8,562,1.9k,31,,58
1861,Dishman Carbogen Amcis,3.6,562,2.1k,34,21,28
1862,Myk Laticrete,3.9,561,2k,25,31,27
1863,United Spirits,4.2,561,1.5k,14,3,70
1864,Accion Labs,3.5,560,4.7k,80,53,43
1865,Courtyard by Marriott,4.1,560,1.1k,23,,84
1866,Pinnacle Infotech,3.4,559,2.8k,59,25,56
1867,Colt Technology Services,4.2,559,3.1k,25,7,81
1868,Dr. Reddy's Foundation,3.7,560,1.7k,54,22,75
1869,Gandhi Automations,3.9,558,1.3k,37,17,101
1870,APL Apollo Tubes,4.0,558,1.9k,44,7,21
1871,Pathkind Diagnostics Private Limited,3.9,558,1.8k,49,7,48
1872,Genesys International Corporation,3.5,558,2.5k,21,6,51
1873,J K Fenner,3.9,557,1.9k,34,6,46
1874,BAXY,4.1,559,2k,23,,47
1875,Toyota Industries Engine India,4.3,557,1.5k,31,,67
1876,Hettich,3.7,557,2.3k,37,14,36
1877,Baker Hughes,4.1,556,4k,65,52,58
1878,PayU Payments,3.4,557,4.1k,63,123,49
1879,PureSoftware,3.0,556,3.6k,63,93,36
1880,McCain Foods,4.0,555,1.6k,36,2,47
1881,Orra Fine Jewellery,3.4,555,1.6k,46,36,27
1882,Levi Strauss & Co.,4.2,555,1.9k,28,24,65
1883,Belstar Microfinance,4.0,555,1.4k,39,,9
1884,Eli Lilly and Company,3.5,554,4.4k,80,78,62
1885,Transport Corporation Of India,3.8,554,1.8k,36,,60
1886,Lear Corporation,4.0,554,2.9k,23,8,66
1887,Applied Materials,3.6,554,4.5k,86,196,59
1888,Apitoria Pharma,4.2,553,683,36,4,18
1889,Capital Numbers Infotech,4.2,553,1.2k,45,29,86
1890,Damco Solutions,3.6,552,2k,42,27,21
1891,Ascent HR Technologies Private Limited,3.6,555,1.7k,36,6,19
1892,Herbalife International,4.0,552,2.5k,29,18,47
1893,Voyants Solutions,3.7,551,1.6k,56,191,29
1894,Expleo Group,3.4,552,5.4k,45,27,22
1895,Sterling Oil Exploration & Energy Production,3.6,551,1.2k,66,3,25
1896,Gayatri Projects,4.0,550,1.8k,39,6,78
1897,General Motors,4.1,550,2.1k,34,1,86
1898,Aurionpro Solutions,3.5,550,3.4k,34,11,31
1899,Allianz Services,4.2,549,2.3k,30,14,48
1900,Solara Active Pharma Sciences,3.6,549,2.8k,43,,55
1901,Bajaj Consumer Care,3.8,550,1.3k,33,5,43
1902,Prochant,3.9,548,2.1k,66,46,33
1903,Western Refrigeration,3.8,548,2.2k,40,5,37
1904,Wabtec,3.9,548,3.2k,55,,31
1905,The Saraswat Co-operative Bank,3.2,548,2.7k,25,3,25
1906,Lulu International Shopping Mall,3.8,548,2.3k,41,,20
1907,Practo,3.0,546,2.9k,79,56,63
1908,Unimoni,3.9,545,2k,18,2,26
1909,Inox Wind,3.8,545,1.7k,46,,69
1910,Paras Dairy,3.5,545,1.6k,27,1,50
1911,Empower,4.0,546,3.9k,57,18,39
1912,Congruex Asia Pacific,3.7,545,2.2k,65,1,38
1913,Dhani Healthcare,3.5,544,2.3k,59,,55
1914,BUSINESSNEXT,3.5,544,3.8k,74,33,21
1915,DB Schenker,4.3,544,2.2k,23,,48
1916,Bharti Infratel,4.6,543,1.1k,6,,73
1917,Utility Powertech,3.8,543,1.8k,30,,36
1918,L & W Constructions,3.8,544,1.8k,27,,42
1919,HUDL,3.1,544,1.8k,62,2,30
1920,Innominds Software,3.3,542,4.5k,48,27,31
1921,RMC Readymix,3.7,542,1.4k,42,5,54
1922,Telenor,4.1,542,580,9,,106
1923,UTL Solar,3.6,542,1.7k,56,44,27
1924,Vestige,4.2,541,1.4k,40,,80
1925,Renault,4.1,541,1.8k,31,,47
1926,Maini Precision Products,3.4,541,2.8k,40,16,39
1927,Andritz Hydro Location India,3.8,541,2.6k,33,4,42
1928,Marelli,3.6,541,2.7k,43,1,68
1929,Mahendra NextWealth IT,3.4,540,1.8k,25,8,16
1930,Maxop Engineering Co.,4.1,540,2.3k,44,5,30
1931,Exicom,4.0,541,2.5k,42,12,45
1932,HashedIn by Deloitte,4.0,540,5.1k,136,2,44
1933,Alcon,3.8,540,2.8k,41,54,44
1934,Kiya.ai,3.6,542,4.1k,51,156,27
1935,RAK Ceramics,3.8,540,1.6k,32,2,48
1936,Sandoz,4.0,539,2.3k,24,7,46
1937,Navin Fluorine International,3.8,539,2.6k,28,6,44
1938,ArcelorMittal,4.1,539,2.6k,38,6,23
1939,Prestige Group,4.3,539,2.5k,44,4,52
1940,Kellogg Brown and Root,4.1,539,2.2k,40,90,50
1941,FiveS Digital,3.4,538,1.4k,53,12,5
1942,Iron Mountain Inc,3.8,541,2.9k,29,8,48
1943,CTS Consulting & Technical Support,3.7,538,6.9k,172,,72
1944,Sir H. N. Reliance Foundation Hospital and Research,4.3,538,1.1k,127,12,9
1945,Paramount Health Services Tpa,3.8,538,2.3k,33,21,37
1946,Harman Finochem,3.7,538,2.8k,42,8,32
1947,QSpiders,3.7,538,1.7k,92,93,19
1948,"DATAMARK, Inc.",3.5,537,1.6k,31,46,46
1949,Cpf India,4.0,539,1.6k,25,,60
1950,The Times of India,3.6,537,2.8k,42,,53
1951,Offshore Infrastructures,4.2,537,1.7k,20,,60
1952,Medlife,3.7,536,2.1k,27,,60
1953,CompuCom,3.8,536,3.1k,37,7,60
1954,RuralShores,3.6,536,1.1k,22,,61
1955,Mr Cooper,4.0,536,3.2k,105,13,33
1956,Virtual Employee,3.3,536,3.1k,51,1,52
1957,Wow Momo Foods,3.5,535,1.8k,46,2,20
1958,Kirloskar Pneumatic,4.0,535,2.5k,36,2,42
1959,Vyapar,3.5,535,2k,68,60,37
1960,BLK Super Speciality Hospital,3.9,535,1.5k,33,,38
1961,Kauvery Hospital,4.0,535,2k,34,26,19
1962,RadiSys,3.8,534,2.3k,49,,54
1963,Hi Tech Gears,4.0,534,2.1k,29,,63
1964,Enco Engineers Combine,3.7,534,1.5k,29,,39
1965,SIS Prosegur Holdings,3.4,534,1.4k,17,6,42
1966,Craftsman Automation,3.8,534,2.3k,23,,58
1967,Sulzer,3.9,534,2.6k,35,2,60
1968,Yokohama,3.6,533,2k,25,,60
1969,Titan Engineering & Automation,3.9,533,2.6k,36,7,35
1970,Eicher Motors,4.1,534,1.5k,41,,43
1971,Maharashtra Seamless,3.4,597,1.9k,57,5,41
1972,Carlsberg,4.0,532,1.8k,35,4,57
1973,AM Infoweb,3.9,532,1.3k,86,36,47
1974,Infiniti Research,3.5,531,1.6k,37,12,68
1975,Maxgen Technologies,4.5,531,1.1k,14,,114
1976,MITS Global Consulting,4.5,531,857,37,,104
1977,Avaada Group,4.3,531,2k,46,1,33
1978,Country Delight,3.9,531,2.3k,39,1,11
1979,Systra Consulting,3.9,531,1.6k,36,101,57
1980,Roop Polymers,4.0,531,1.8k,28,,41
1981,DM Immigration Consultant,1.0,530,28,,,
1982,Fenesta Building Systems,4.0,530,1.8k,35,19,38
1983,Laxmi Organic Industries,3.9,530,2k,40,4,46
1984,Datamatics Business Solutions,3.3,531,2.4k,44,14,30
1985,Zolo,3.3,529,2.1k,58,29,36
1986,Stock Holding Corporation of India,3.6,529,1.7k,32,,43
1987,S P Singla Constructions,3.5,528,1.6k,37,,39
1988,House Of Anita Dongre,4.2,528,1.5k,18,3,60
1989,MAQ Software,2.9,527,3.6k,141,5,26
1990,Kidzee,3.9,528,1.2k,24,1,42
1991,LendingKart,3.5,527,2.6k,36,7,22
1992,Ambit Finvest,4.0,526,1.8k,24,4,14
1993,GSPANN Technologies,4.1,527,3.4k,46,63,32
1994,Bharat Fritz Werner,3.9,526,2.3k,32,1,47
1995,Groupm Media,3.7,526,3.8k,38,3,35
1996,OMICS International,2.5,525,1.8k,25,,60
1997,Dusters Total Solutions Services,3.9,525,1.5k,20,2,42
1998,Wellness Forever Medicare,3.8,525,1.7k,54,4,36
1999,Quikr,3.5,524,2.2k,33,10,57
2000,Capital Business Systems,3.6,526,1.5k,31,15,5
2001,Tracxn,2.9,524,2.4k,110,98,36
2002,Quikr,3.5,524,2.2k,33,10,57
2003,Tradeshala,4.5,523,33,118,,7
2004,Macawber Beekay,4.2,523,1.6k,21,14,62
2005,CDK Global,3.8,522,3.4k,40,34,69
2006,Ziqitza Health Care,3.9,522,1.2k,25,,71
2007,Reliance Life Sciences,3.6,523,2.5k,29,,56
2008,Sterling,4.0,522,1k,34,1,61
2009,FMC Corporation,3.9,522,1.7k,39,,47
2010,Celebi Aviation Holding,3.9,522,899,29,,1
2011,Jaipur Rugs,4.3,521,828,50,15,20
2012,Fena,4.1,521,1.4k,29,1,43
2013,Karvy Data Management Services,4.0,521,2.2k,16,,125
2014,Micron Electricals,4.0,522,2.3k,37,2,26
2015,Vimta Labs,3.4,521,2.1k,39,7,54
2016,Anudip Foundation,3.7,522,1.2k,158,24,37
2017,Infinity Learn,4.1,523,1.8k,77,60,6
2018,Canon,4.0,520,1.9k,22,12,61
2019,Mecon,3.9,520,1.6k,44,,35
2020,Welspun Enterprises,4.1,519,1.7k,51,,37
2021,Foray Software,3.4,519,3.6k,39,32,24
2022,EC-Council,4.1,519,2.4k,49,23,42
2023,Scaler Academy,3.5,519,2.4k,86,9,83
2024,MR.DIY,3.4,519,1.3k,45,5,9
2025,Ge India Industrial,4.1,518,2k,19,,21
2026,Ralson Tyres Limited,3.6,518,2k,43,9,30
2027,Uttar Pradesh Power Corporation,4.0,518,1.2k,10,,38
2028,Legrand,3.7,517,2.2k,25,,42
2029,ACTE,4.7,517,105,9,,173
2030,N.C.L. Industries,3.8,517,1.6k,37,2,38
2031,Vivanta by Taj,4.2,517,988,27,,75
2032,Emaar India Limited,3.6,517,2.3k,27,8,40
2033,Wockhardt Hospital,4.0,517,1.6k,22,20,61
2034,V.S.T Tillers Tractors,3.5,517,1.8k,39,6,36
2035,ATS Infrastructure,4.1,516,1.8k,31,,59
2036,Vishwa Samudra Engineering,3.7,519,1.5k,32,,11
2037,ExxonMobil,3.8,516,3.7k,80,357,57
2038,DFM Foods,4.0,516,1.6k,36,2,39
2039,Chaayos,3.4,515,1.5k,37,20,53
2040,Chaayos,3.4,515,1.5k,37,20,53
2041,Satyam Auto Components,3.9,516,2.2k,34,,40
2042,Hitachi Cash Management Services,3.3,515,1.2k,35,8,32
2043,Allianz Partners,3.8,515,2.5k,38,,31
2044,Zycus Infotech,2.7,515,3.2k,76,117,49
2045,AML RightSource,2.7,515,2.7k,50,43,8
2046,Coats,3.7,514,1.8k,24,48,46
2047,JK Tech,3.7,513,3.2k,36,4,30
2048,Vakrangee,3.8,513,1.1k,9,,66
2049,Nivea,4.1,513,1.7k,28,9,49
2050,Bharat Gears,4.0,513,2k,26,,43
2051,BOBCARD Ltd.,4.2,512,1.3k,29,59,18
2052,Magma General Insurance Limited,3.7,513,2.2k,30,59,34
2053,Metalman Auto,3.9,512,1.9k,24,5,34
2054,My Home Constructions,4.3,511,2.1k,34,8,29
2055,Regalix,2.8,510,2.8k,55,47,45
2056,Pitti Engineering,3.8,510,1.9k,27,,48
2057,GUS Education India,3.1,510,2.1k,47,10,17
2058,Hero Cycles,3.3,509,1.8k,50,3,36
2059,Williams Lea,3.6,509,3.1k,47,10,38
2060,C5i,4.0,511,2.8k,54,31,33
2061,Brigade Group,4.1,509,2.5k,42,11,39
2062,Metro Group of Hospitals,3.8,510,1.3k,15,53,3
2063,Indecomm Global Services,3.9,508,2.6k,27,23,46
2064,Insuremile,4.8,509,71,78,1,1
2065,Centum Learning,3.7,508,1.4k,26,8,64
2066,Suprajit Engineering,3.9,507,2.3k,36,9,52
2067,Chemplast Sanmar,3.5,507,2.3k,45,40,32
2068,RSB Transmissions,3.9,507,2k,32,,40
2069,Metriqe Solutions,3.9,507,1.3k,25,7,25
2070,CARE,4.3,506,1.2k,41,1,77
2071,Hafele,4.0,507,2.1k,29,3,62
2072,Hindusthan National Glass,3.7,506,2k,33,,39
2073,Aptus Value Housing Finance India,4.1,508,1.3k,18,7,32
2074,Macquarie Group,3.2,505,4.5k,48,43,48
2075,NMDC Limited,4.2,505,1.9k,42,,16
2076,Vidal Health Insurance,3.7,505,1.8k,21,,11
2077,Cairn Energy,3.6,504,2.9k,33,,62
2078,Cuemath,3.6,503,1.9k,49,31,86
2079,Pace Setters Business Solutions,3.4,503,1.2k,23,2,43
2080,PEGATRON,3.9,503,2.1k,29,,1
2081,F1 Info Solutions and Services,3.7,503,1.2k,25,,38
2082,Spectrum Talent Management,3.6,504,1.9k,34,,25
2083,Poorvika Mobiles,4.0,503,1.7k,31,3,32
2084,Lotus Herbals Private Limited,4.2,502,1.4k,45,4,24
2085,Mobile Programming,2.9,501,3.5k,79,142,14
2086,BharatMatrimony.com,3.9,501,1.4k,23,,29
2087,AT&T,3.9,501,4.4k,65,64,58
2088,Webskitters,3.9,501,794,19,9,109
2089,Kokilaben Dhirubhai Ambani Hospital,3.7,500,1.7k,28,47,35
2090,LearningMate Solutions,3.0,500,3.5k,47,26,46
2091,Haldiram Snacks,3.9,500,1.6k,15,16,1
2092,FinThrive,3.5,499,1.5k,21,2,9
2093,Future Lifestyle Fashion,4.2,498,1.6k,8,,81
2094,Galaxy Surfactants,3.8,499,1.9k,28,11,58
2095,Mobikwik,3.5,498,2.4k,59,28,27
2096,Propertypistol Realty,3.5,498,2k,61,28,17
2097,HealthifyMe,2.7,498,1.6k,51,,26
2098,5paisa Capital Ltd.,4.0,497,1.6k,43,9,65
2099,Voltech,3.4,497,1.6k,33,,59
2100,Sanmina Sci,4.1,497,2.6k,33,31,47
2101,Saud Bahwan Group,3.6,496,987,13,,69
2102,Nelito System,3.3,496,2.4k,30,32,41
2103,Ministry of Defence,4.3,497,1.8k,17,,60
2104,Hamdard,4.0,495,1.4k,42,3,29
2105,RapiPay,3.6,495,1.6k,37,6,22
2106,Safari Industries India,4.0,496,1.7k,33,6,31
2107,OutworX,3.5,497,2.1k,35,,11
2108,Morepen Laboratories,3.9,494,1.8k,24,79,39
2109,Techwave Consulting,3.7,494,3.6k,41,19,21
2110,MUTHOOT HOMEFIN (I) LTD.,4.0,495,1.3k,28,5,11
2111,Varuna Integrated Logistics,3.8,494,1.6k,36,8,39
2112,Deloitte Digital,3.8,494,3k,59,,57
2113,Rakuten,3.5,494,5.1k,95,12,47
2114,Alight Solutions,3.3,492,2.6k,30,7,50
2115,Go First,3.9,492,2k,50,,41
2116,IKF Finance,4.0,492,1.3k,24,10,17
2117,Pepperfry,3.2,492,2k,33,4,44
2118,Emerson Electric Co.,4.0,492,3.1k,56,274,36
2119,Medikabazaar,4.3,492,920,14,4,14
2120,Dr. Agarwal's Eye Hospital,3.7,492,1.6k,37,63,33
2121,Tuaman Engineering,4.3,491,1.5k,65,,39
2122,Great Learning,3.5,492,3.6k,68,35,36
2123,ServiceNow,4.0,491,5.2k,130,1,15
2124,QHTalbros,3.6,491,1.4k,18,1,50
2125,Adda 247,3.7,491,1.7k,73,21,11
2126,Trimax IT Infrastructure Services,3.6,490,1.1k,13,,36
2127,HSBC Global Banking and Markets,3.9,490,3.3k,29,,28
2128,BKT Tyres,4.2,490,1.9k,71,14,33
2129,SunTec Web Services,3.2,490,1.8k,50,3,33
2130,Ivrcl Infrastructures & Projects,4.3,490,823,9,16,80
2131,CMR Green Technologies,3.6,490,1.6k,51,22,54
2132,Bira 91,3.3,489,1.5k,27,,12
2133,NJ India Invest,3.7,489,1k,53,34,62
2134,Securitas,3.8,490,1.9k,36,6,42
2135,Value Point Systems,3.5,489,2.2k,29,17,29
2136,Sadbhav Engineering,4.2,488,1.2k,10,,69
2137,Sarovar Hotels & Resorts,4.0,489,1.3k,18,,62
2138,Gyan Dairy,4.0,488,1.3k,43,1,34
2139,Kaar Tech,4.0,488,1.9k,166,6,10
2140,Innovaccer,3.4,487,3.3k,91,67,23
2141,TÜV Rheinland,4.1,488,1.8k,20,2,38
2142,India Post,3.7,487,1.4k,24,,49
2143,Cadbury,4.3,488,953,27,,35
2144,LIC Housing Finance,3.9,488,1.5k,20,4,35
2145,Premier Energies,4.0,487,1.8k,36,,25
2146,Tractebel,4.1,487,1.6k,45,8,37
2147,Texmo Industries,3.8,487,1.6k,26,3,41
2148,Pierian Services,3.4,487,2.6k,38,147,22
2149,Markets and Markets,2.8,486,2.7k,60,14,31
2150,Sheela Foam,3.9,486,1.4k,30,1,34
2151,Rusan Pharma,3.5,486,1.8k,23,4,38
2152,Global Autotech,4.0,486,2.1k,50,3,43
2153,Insolutions Global,3.7,486,2.6k,35,6,24
2154,Johnson Matthey,3.9,484,1.8k,42,10,59
2155,Muthoottu Mini Financiers,3.5,485,1.2k,24,15,13
2156,QUICK HEAL TECHNOLOGIES,3.7,484,2.6k,28,9,53
2157,Maersk Line,4.0,484,2.4k,33,,64
2158,Juniper Networks,4.2,484,4.3k,74,1,49
2159,QBurst Technologies,4.2,484,3.9k,85,46,46
2160,Atomberg Technologies,3.8,485,2.2k,36,13,23
2161,Communications Test Design,3.7,483,1.7k,30,20,17
2162,Amara Raja Infra,4.0,483,1.3k,53,,17
2163,RSM India,3.3,485,2.5k,64,155,20
2164,Think Gas Ludhiana,3.6,485,2.2k,49,1,31
2165,Sterling Holiday Resort,3.7,483,1.5k,22,34,60
2166,iNurture Education Solutions,2.5,483,1.4k,45,3,36
2167,Mars International India,4.2,483,1.7k,19,6,50
2168,Saudi Binladin Group,4.2,482,721,33,1,69
2169,Siemens Healthineers,4.0,482,3.9k,66,,48
2170,Addverb Technologies,3.6,482,2.2k,86,20,28
2171,African Industries,3.9,482,1k,33,14,28
2172,BrightCHAMPS,3.9,482,1.1k,67,9,43
2173,Otsuka Pharmaceutical India Private Limited,4.2,482,1.5k,27,23,69
2174,2COMS,3.2,482,1.3k,56,405,26
2175,TRINAMIX,4.5,482,887,56,54,88
2176,Xerox,3.8,481,2k,24,,4
2177,Saksoft,3.6,481,3.3k,46,3,21
2178,Indian Bank,3.4,482,1.9k,26,,33
2179,Alchemy Techsol India,3.4,481,2k,89,,14
2180,National Commodities Management Services,4.0,481,1.4k,15,1,45
2181,BCG,3.7,480,7.3k,213,8,39
2182,Ben Franklin Opticians,3.6,479,1.2k,26,,37
2183,Motilal Oswal Wealth Management,4.4,479,340,35,20,18
2184,Kalyani Technoforge,3.8,479,1.9k,20,7,39
2185,Hinduja Tech,3.2,479,3.1k,33,102,25
2186,Axa XL,3.6,479,3.5k,49,122,58
2187,Dalmia Bharat Group,3.9,479,1.9k,34,,33
2188,N+A,3.8,479,17.8k,161,1,13
2189,Plastic Omnium,3.7,478,2k,30,22,21
2190,Yardi Systems,3.5,478,2.5k,75,2,40
2191,SUEZ Group,4.2,478,1.9k,18,15,41
2192,Par Pharmaceutical Companies,4.1,478,2k,27,,5
2193,BharatPe,3.5,478,2.5k,48,1,17
2194,Micron Technology,3.6,477,4.2k,80,26,30
2195,Walkaroo International,3.6,482,2.2k,45,73,22
2196,Indiafilings,4.3,477,1k,139,11,6
2197,Romsons Group Of Industries,3.8,477,1.6k,35,10,32
2198,McNally Bharat Engineering,4.0,477,1.4k,13,1,57
2199,Kandhari Beverages,3.7,478,1.5k,28,21,21
2200,Voya India,3.7,477,2.8k,29,14,1
2201,Stylebaazar,3.9,476,1k,35,20,5
2202,NBTC GROUP,3.3,476,1k,22,4,62
2203,Riya Travel,3.6,475,1.6k,11,1,41
2204,ZEISS India,3.6,475,2.5k,33,11,36
2205,Jiva Ayurvedic Pharmacy,3.9,475,1.2k,43,40,47
2206,Hitachi Systems,3.9,476,2.4k,13,5,3
2207,Prime Focus Technologies,3.1,474,2.3k,40,,54
2208,MindGate Solutions,3.2,475,3k,75,3,21
2209,Invesco,3.7,474,3.1k,49,59,47
2210,Kirby Building Systems,4.0,474,1.8k,24,16,35
2211,Essjay Ericsson,4.2,474,859,11,,57
2212,Sri Krishna Pharmaceuticals,3.9,474,1.8k,17,1,33
2213,Cosmo Films,3.7,473,2k,39,15,48
2214,Westin,4.1,473,1.2k,20,,68
2215,Gilbarco Veeder Root,3.8,473,2.1k,27,6,32
2216,Qcon,4.4,473,1.1k,42,,58
2217,Onshore Construction,3.7,472,1.5k,24,7,50
2218,Ascent Business Solutions,3.3,473,2.6k,32,4,32
2219,Marble Box,3.7,472,914,29,,29
2220,Orcapod Consulting Services,3.1,472,1.8k,32,,17
2221,Flowserve,3.7,470,3.2k,32,90,51
2222,Central Public Works Department,4.1,470,1.2k,14,,49
2223,Alpla,3.9,470,1.7k,35,40,58
2224,Magneti Marelli Motherson Auto System,3.8,470,1.4k,24,,60
2225,Ppap Automotive,3.8,470,1.7k,40,,42
2226,Giesecke & Devrient,3.4,470,2.2k,32,15,67
2227,InCred Finance,3.8,471,2.3k,30,29,19
2228,ASM Technologies,3.6,470,3.3k,43,21,29
2229,Grindwell Norton,3.6,470,1.7k,27,,62
2230,GHCL Limited,3.9,469,1.6k,34,8,57
2231,Mikuni,4.0,469,1.3k,26,,55
2232,NAV Backoffice,3.6,469,2.3k,36,3,25
2233,FNP,3.3,469,2.3k,32,10,24
2234,Schindler Group,3.7,468,1.3k,21,,79
2235,EID Parry (India),3.9,469,1.5k,23,,51
2236,Keysight Technologies,3.9,468,2.5k,35,42,50
2237,Thought Focus,3.3,468,3.4k,48,41,34
2238,Lite Bite Foods,4.4,468,1.2k,20,2,53
2239,Mahanagar Gas,4.2,467,2.1k,32,,46
2240,Vishvaraj Environment,4.0,467,1.7k,29,,14
2241,Bridgestone India Automotive Products,4.0,466,2.2k,29,,51
2242,Leighton Contractors,4.0,466,1.1k,17,10,60
2243,L. N. Malviya Infra Projects Group,3.1,466,1.2k,27,45,21
2244,C-Edge Technologies,3.7,465,2.6k,27,3,39
2245,Sayaji Hotels,4.2,465,1k,14,,69
2246,Ramco Industries,4.1,465,1.8k,19,,46
2247,Epiroc,4.0,464,2.3k,39,45,41
2248,Nirmal jyoti Si Sec School,,,1,,,
2249,Matrix Business Services,3.4,464,1.9k,41,7,20
2250,Quinnox,3.8,464,3.3k,37,30,35
2251,Teradata,3.6,464,3.6k,59,14,44
2252,Bahwan Engineering,4.1,464,970,25,5,52
2253,Visaka Industries,3.8,463,1.6k,27,2,42
2254,Jumbotail Technologies,3.6,465,1.6k,37,5,15
2255,Star Bazaar,3.9,463,1.4k,22,,26
2256,British Council,3.6,463,2k,25,5,56
2257,KRBL,3.8,463,1.5k,35,8,28
2258,Buzzworks Business Services,3.7,463,2k,19,,19
2259,Oriental Structural Engineers,4.2,464,1.2k,9,3,60
2260,India Glycols,3.9,463,1.9k,35,4,35
2261,Del Monte Foods,4.1,463,1.5k,16,14,52
2262,Almarai,4.2,462,818,22,,63
2263,GD Goenka Public School,3.4,474,1.3k,44,36,47
2264,Revent Group,3.8,462,697,17,,3
2265,MediBuddy,3.4,462,2.2k,37,30,16
2266,Tata International,3.5,461,2.1k,23,10,60
2267,Athenahealth Technology,4.1,462,3.8k,89,70,45
2268,Aparna Enterprises,3.9,461,1.7k,36,13,30
2269,Suzlon Global Services,3.8,461,1.3k,52,,33
2270,smartData Enterprises,3.1,460,1.6k,38,10,32
2271,Tetra Pak,4.0,460,2.3k,41,22,58
2272,Landis+Gyr,2.9,460,2.7k,34,40,42
2273,MathCo,3.0,460,2.7k,130,7,22
2274,Vindhya e-Info Media,3.4,461,1.1k,27,2,23
2275,Jindal Power Limited,4.2,460,1.6k,43,14,23
2276,Symbiotec Pharmalab,4.0,460,1.9k,28,1,33
2277,Gulf Oil Lubricants,4.0,459,1.7k,29,3,39
2278,NKG Infrastructure,3.2,460,1.4k,24,8,25
2279,Sulekha.com,3.4,459,1.7k,21,23,46
2280,Numeric UPS,3.9,465,1.2k,13,30,4
2281,Visa,3.3,462,6k,156,76,39
2282,Bluestone.com,3.5,459,2k,53,2,18
2283,Kellton,2.9,459,3.4k,59,6,41
2284,Novotel Hotels,4.0,459,1.2k,27,,73
2285,MagicPin,2.5,459,1.8k,60,17,26
2286,TriGeo Technologies,3.2,458,1.8k,28,,39
2287,Avery Dennison,3.7,458,1.9k,28,43,58
2288,OLX Autos,3.9,458,1.5k,30,,
2289,Symphony,4.6,458,1k,56,6,23
2290,Allied Blenders & Distillers,4.0,458,1.5k,18,2,33
2291,Greenpanel Industries,4.0,459,1.8k,22,1,23
2292,Shalimar Paints,3.4,458,1.5k,29,7,25
2293,Bhilosa Industries,3.7,458,2.2k,34,15,23
2294,Allana Group of Companies,3.9,458,1.4k,34,,11
2295,Meghmani Organics,3.7,457,2.2k,44,2,31
2296,Anthem Biosciences,3.9,457,2.6k,33,2,32
2297,Prism Cement,3.9,457,1.2k,38,,54
2298,Signature Global,3.9,457,2.1k,42,19,18
2299,Lakme,4.1,457,1.5k,16,1,48
2300,ByteDance,4.0,457,2.2k,38,3,54
2301,Akamai Technologies,4.4,457,3.9k,74,9,61
2302,Lakme,4.1,457,1.5k,16,1,48
2303,Iksula,3.3,456,2k,32,4,112
2304,Namaste India Foods,3.9,456,1.2k,18,2,38
2305,Dana India,4.0,457,1.7k,38,2,56
2306,Honda Logistics,3.7,457,1.4k,30,1,42
2307,Sany Heavy Industry,3.6,456,1.9k,39,2,48
2308,Brainvire,3.0,455,1.6k,72,9,231
2309,WM Universal Solutions Private Limited,3.6,455,2.1k,43,123,40
2310,Aludecor Lamination,3.9,454,1.6k,39,,28
2311,Thales,3.6,454,3.3k,51,79,44
2312,Fynd,2.9,454,2.1k,68,44,23
2313,Gopal Snacks Limited,4.2,454,1.2k,40,2,34
2314,Subex,3.3,454,3.2k,36,2,57
2315,Atyati Technologies,3.9,454,1.5k,29,2,33
2316,Aimil Pharmaceuticals,3.6,455,1.8k,24,,43
2317,Encube Ethicals,3.7,454,2.3k,25,5,29
2318,Nash Industries,3.6,454,2.3k,34,4,36
2319,Stovekraft,4.0,453,1.7k,33,13,27
2320,Liberty General Insurance,3.7,453,1.8k,19,,31
2321,Samsung Display,3.8,453,2.1k,48,1,43
2322,Stovekraft,4.0,453,1.7k,33,13,27
2323,Technico Industries,3.5,453,1.9k,39,,27
2324,Vijai Electricals,3.6,452,1.3k,18,,50
2325,Seoyon E-hwa Automotive,3.5,452,2.2k,25,,27
2326,LogixHealth,3.5,452,2.1k,20,14,36
2327,Paharpur Cooling Towers,3.9,451,1.9k,29,3,29
2328,Equiniti,3.7,451,3k,43,59,28
2329,ESDS Software Solutions,3.7,451,2.9k,35,10,41
2330,Venky's,3.7,451,1.5k,24,1,31
2331,Orient Craft,3.7,451,1.4k,8,,62
2332,CollegeDekho,2.8,450,2.3k,64,7,14
2333,Dharampal Premchand,4.3,449,1.3k,24,1,41
